feature,mean_abs_shap
Local_feature_72,0.0691116414767993
Aggregate_feature_22,0.06796127363475893
Local_feature_43,0.0676309443464003
Aggregate_feature_7,0.06553680299477836
Aggregate_feature_72,0.06515762703348271
Local_feature_85,0.0635327919639439
Local_feature_10,0.06347458175186912
Aggregate_feature_58,0.06279449538635162
Aggregate_feature_57,0.061140495401070895
Aggregate_feature_67,0.059369669733748076
Aggregate_feature_33,0.05879972687034911
Aggregate_feature_64,0.058781788320877486
Aggregate_feature_71,0.05588002636444477
Local_feature_84,0.054811771833212064
Aggregate_feature_50,0.05364073507529781
Aggregate_feature_63,0.05213534109399467
Local_feature_42,0.051671072756052684
Local_feature_60,0.05096948087397294
Local_feature_91,0.04920623777052397
Local_feature_49,0.047327908280123336
Local_feature_1,0.045744725351758976
Aggregate_feature_21,0.04459842789434308
Local_feature_28,0.04375462758443099
Aggregate_feature_40,0.041900411440970446
Local_feature_54,0.041369545271007044
Aggregate_feature_52,0.04018280380064386
Aggregate_feature_17,0.039057365251177624
Local_feature_17,0.038613139265732545
Aggregate_feature_55,0.03845024667942148
Local_feature_25,0.03821753762689482
Aggregate_feature_5,0.038014030316190175
Local_feature_8,0.03756013859230333
Aggregate_feature_47,0.03710842140774379
Local_feature_13,0.03687366905764514
Local_feature_66,0.03684316310741825
degree_sum,0.03600357320369519
Local_feature_22,0.03581534303271528
Aggregate_feature_66,0.03555783177686975
Local_feature_24,0.03406216023995805
Aggregate_feature_31,0.030280110993111238
Aggregate_feature_19,0.029506775812423617
Aggregate_feature_53,0.0292857203204648
Aggregate_feature_30,0.029272999676422835
Aggregate_feature_25,0.028306224522343885
Aggregate_feature_15,0.02763924153437688
Local_feature_31,0.025159025463560813
out_BTC_max,0.02486886636080915
Local_feature_26,0.024161573695412584
in_BTC_total,0.023349253795524837
Aggregate_feature_59,0.022667056015850093
Local_feature_48,0.022582946223409128
Aggregate_feature_20,0.0223218908988616
Local_feature_50,0.02213962804494575
Local_feature_56,0.02113517056312649
in_BTC_max,0.020542921952802665
Local_feature_34,0.0197079072908132
Local_feature_92,0.019386876447511768
Aggregate_feature_18,0.01926425904257346
Local_feature_44,0.01880364896180175
Aggregate_feature_27,0.018731857636877798
Aggregate_feature_41,0.01786810241393411
Local_feature_71,0.017714091033961724
Aggregate_feature_26,0.017554879847339146
Aggregate_feature_6,0.01744781335833241
degree_diff,0.016802630392943923
Local_feature_45,0.016750329473207762
total_BTC,0.0161274893231271
in_BTC_mean,0.01597592703055338
Local_feature_35,0.015773850151619067
Aggregate_feature_23,0.015392885567320548
in_degree,0.015250282978104598
Local_feature_62,0.014889015649241498
Aggregate_feature_29,0.014802726384264464
Local_feature_30,0.01467240949623571
Local_feature_86,0.014545941098798759
Local_feature_19,0.01453569197369316
Aggregate_feature_3,0.013846512561469274
tx_complexity,0.01380876280182722
Aggregate_feature_42,0.012651185912304736
Aggregate_feature_12,0.012340143443781733
Local_feature_6,0.011932026246921513
Local_feature_12,0.011897461201731751
Aggregate_feature_60,0.011289068002391314
Aggregate_feature_24,0.010860926279537069
out_degree,0.009991509442431502
Local_feature_57,0.009872248603446885
Aggregate_feature_11,0.009525880709368386
Aggregate_feature_36,0.008708462133832714
in_out_ratio,0.008631894615844434
Local_feature_51,0.00850615385994426
Local_feature_27,0.008373857177357936
Local_feature_82,0.008356617246462444
Local_feature_37,0.008216430279343373
Aggregate_feature_35,0.007817596632270328
Aggregate_feature_48,0.007295123612816732
Local_feature_21,0.007273272001150032
Local_feature_93,0.006823025736796393
num_input_addresses,0.006442650691001125
out_BTC_mean,0.00570892243771369
Local_feature_87,0.0049539356582521945
Local_feature_74,0.004381354738760305
Local_feature_33,0.004176561250695388
Local_feature_4,0.003775279776016581
Local_feature_75,0.003736579089682222
Local_feature_68,0.0037346992805262717
Local_feature_32,0.0027588770011016156
equal_split_flag,0.0023211439985925497
Local_feature_69,0.0020481462958761376
fan_in,0.001876892603389937
Local_feature_81,0.001876843211918216
Local_feature_38,0.0018707490941089874
Local_feature_36,0.0016420874065037035
Local_feature_39,0.0012885981228194312
Local_feature_63,0.0011904119608490671
Local_feature_70,0.0009541087120686526
Aggregate_feature_54,0.0009035874825571016
Local_feature_7,5.7265468654868095e-05
out_BTC_total,0.0
fan_out,0.0
num_output_addresses,0.0
many_outputs_flag,0.0
small_outputs_flag,0.0
Local_feature_14,0.0
peel_chain_flag,0.0
Local_feature_15,0.0
